participation_ratio,variance_activation_derivatives,average_state_entropy,active_information_storage,transfer_entropy,mean_correlation,task,process_count,trial,spectral_radius,scale,base_nmse
1.66920198887569,2.1959916375300873e-14,-6.845225692542749,0.031507435905603114,0.04390539276993568,0.6274968180045823,delay,1,0,0.5428571428571429,0.001,0.999758510747961
1.66920198887569,2.1959916375300873e-14,-6.845225692542749,0.031507435905603114,0.04390539276993568,0.6274968180045823,delay_polynomial,1,0,0.5428571428571429,0.001,0.999758510747961
1.66920198887569,2.1959916375300873e-14,-6.845225692542749,0.031507435905603114,0.04390539276993568,0.6274968180045823,polynomial,1,0,0.5428571428571429,0.001,0.0032144055497000945
1.66920198887569,2.1959916375300873e-14,-6.845225692542749,0.031507435905603114,0.04390539276993568,0.6274968180045823,narma,1,0,0.5428571428571429,0.001,0.5591290994333202
2.165347484401684,3.3229449641335256e-14,-6.731504721294041,0.03359516092370454,0.0467183918144721,0.5429240510624916,delay,1,0,0.6571428571428573,0.001,0.9689993697093686
2.165347484401684,3.3229449641335256e-14,-6.731504721294041,0.03359516092370454,0.0467183918144721,0.5429240510624916,delay_polynomial,1,0,0.6571428571428573,0.001,0.9689993697093686
2.165347484401684,3.3229449641335256e-14,-6.731504721294041,0.03359516092370454,0.0467183918144721,0.5429240510624916,polynomial,1,0,0.6571428571428573,0.001,0.0032531123476680556
2.165347484401684,3.3229449641335256e-14,-6.731504721294041,0.03359516092370454,0.0467183918144721,0.5429240510624916,narma,1,0,0.6571428571428573,0.001,0.5469953340279532
3.1078690902284665,6.123709071975109e-14,-6.575803455540776,0.03437032494233562,0.041482791679678284,0.44930819417456425,delay,1,0,0.7714285714285716,0.001,0.5486970931481887
3.1078690902284665,6.123709071975109e-14,-6.575803455540776,0.03437032494233562,0.041482791679678284,0.44930819417456425,delay_polynomial,1,0,0.7714285714285716,0.001,0.5486970931481887
3.1078690902284665,6.123709071975109e-14,-6.575803455540776,0.03437032494233562,0.041482791679678284,0.44930819417456425,polynomial,1,0,0.7714285714285716,0.001,0.003212914475087148
3.1078690902284665,6.123709071975109e-14,-6.575803455540776,0.03437032494233562,0.041482791679678284,0.44930819417456425,narma,1,0,0.7714285714285716,0.001,0.3733594573794738
5.327232272510497,1.7554257382042712e-13,-6.326238211257281,0.03444760912884934,0.03143741306870647,0.3430510726233886,delay,1,0,0.8857142857142857,0.001,0.07702202933447297
5.327232272510497,1.7554257382042712e-13,-6.326238211257281,0.03444760912884934,0.03143741306870647,0.3430510726233886,delay_polynomial,1,0,0.8857142857142857,0.001,0.07702202933447297
5.327232272510497,1.7554257382042712e-13,-6.326238211257281,0.03444760912884934,0.03143741306870647,0.3430510726233886,polynomial,1,0,0.8857142857142857,0.001,0.003236107886683084
